-1.99318	-1.99238	-0.00129212
-1.98253	-1.92636	0.0172102
-1.98322	-1.85707	-0.00490979
-1.98337	-1.79929	-0.0215175
-1.9775	-1.74343	-0.00224896
-1.97336	-1.66531	-0.000483556
-1.97639	-1.56813	-0.00266467
-1.9827	-1.46264	-0.00497963
-1.98287	-1.36773	0.00721833
-1.98054	-1.27637	0.00440372
-1.98171	-1.14097	-0.00242786
-1.98127	-1.0426	-0.0127788
-1.98132	-0.956568	-0.017987
-1.98353	-0.86662	-0.00426505
-1.98076	-0.749826	-0.0130848
-1.97929	-0.669065	0.0091888
-1.97788	-0.589852	0.0207287
-1.9736	-0.476932	0.0123533
-1.97186	-0.383899	0.044191
-1.9685	-0.283215	0.100497
-1.97279	-0.193992	0.130371
-1.97487	-0.103698	0.140487
-1.97851	-0.00366049	0.154125
-1.97876	0.0990465	0.149105
-1.97528	0.181931	0.10453
-1.97325	0.263753	0.0946554
-1.97148	0.369877	0.046122
-1.97351	0.498066	0.0295672
-1.97817	0.627373	0.0217698
-1.97844	0.721608	0.0124439
-1.97843	0.802659	0.0133286
-1.97877	0.932845	0.0169296
-1.98256	1.08307	0.00789354
-1.98315	1.17705	0.0101128
-1.98513	1.26504	0.0211349
-1.9833	1.35787	0.0108203
-1.97472	1.42641	0.00367362
-1.96829	1.51087	0.000656317
-1.89669	1.66096	0.0060493
-1.45748	1.86542	-0.0148961

-1.93093	-1.98626	-0.00114165
-1.95026	-1.95768	0.0184939
-1.96437	-1.89607	-0.00204074
-1.97221	-1.84042	-0.0104032
-1.96415	-1.76838	0.00732156
-1.95842	-1.69224	0.0108546
-1.96188	-1.62367	-0.00301716
-1.96904	-1.52643	-0.0153611
-1.9716	-1.43704	-0.00763249
-1.97165	-1.34569	0.00979444
-1.96576	-1.24314	0.00418828
-1.96088	-1.15957	-0.00464934
-1.96512	-1.03892	-0.027868
-1.9722	-0.952015	-0.0118839
-1.97257	-0.824805	-0.00181781
-1.976	-0.733007	-0.00184332
-1.97621	-0.639763	-0.0018464
-1.97241	-0.542055	-8.23689e-05
-1.96881	-0.448155	0.0265916
-1.96475	-0.342774	0.0900625
-1.96877	-0.244538	0.124973
-1.97137	-0.165803	0.145995
-1.97594	-0.0787054	0.149774
-1.97263	0.0239302	0.163312
-1.97103	0.13706	0.132516
-1.97195	0.226911	0.106213
-1.97034	0.321658	0.0662016
-1.97012	0.438191	0.0337491
-1.97501	0.559881	0.0166018
-1.97371	0.66813	0.0104836
-1.97074	0.764916	0.00606728
-1.97456	0.889551	0.00386754
-1.97328	0.974099	-0.00835593
-1.96693	1.05305	-0.00981965
-1.96332	1.16984	0.00263675
-1.96481	1.27822	0.0106781
-1.96035	1.37493	0.0015432
-1.94806	1.45809	-0.000419379
-1.91182	1.60397	0.00456161
-1.535	1.8266	-0.0167942

-1.8847	-1.98883	0.00618582
-1.91438	-1.9636	0.0235534
-1.93589	-1.91919	0.0140523
-1.94367	-1.86869	-0.0226074
-1.93869	-1.81199	-0.014153
-1.94059	-1.72796	-0.00692052
-1.94231	-1.65043	-0.0034873
-1.94593	-1.56521	-0.00202255
-1.95003	-1.48518	-0.00055535
-1.95389	-1.38551	0.0135607
-1.95633	-1.26971	0.0151493
-1.95001	-1.1821	-0.00278036
-1.94314	-1.07923	-0.0145399
-1.94713	-1.00158	-0.000707267
-1.95236	-0.895199	0.00957998
-1.95063	-0.79789	-0.0120167
-1.94892	-0.71843	-0.00705592
-1.94547	-0.596878	0.0104685
-1.94405	-0.495848	0.0550103
-1.9428	-0.391108	0.130415
-1.95025	-0.279404	0.169269
-1.95373	-0.189221	0.197668
-1.95836	-0.101176	0.205373
-1.95569	0.00642642	0.22654
-1.95361	0.102769	0.209244
-1.94729	0.202985	0.188417
-1.9408	0.287115	0.177213
-1.94212	0.383696	0.134151
